reinstant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_lag1
888,2011-02-06 00:00:00,1,0,2,23,0,0,0,1,0.24,0.2879,0.65,0.0,4,26,30,62
889,2011-02-07 00:00:00,1,0,2,0,0,1,1,1,0.24,0.2879,0.65,0.0,1,14,15,30
890,2011-02-07 00:00:00,1,0,2,1,0,1,1,1,0.22,0.2727,0.75,0.0,1,4,5,15
891,2011-02-07 00:00:00,1,0,2,2,0,1,1,1,0.2,0.2576,0.8,0.0,0,3,3,5
892,2011-02-07 00:00:00,1,0,2,3,0,1,1,1,0.2,0.2576,0.86,0.0,0,1,1,3
893,2011-02-07 00:00:00,1,0,2,4,0,1,1,1,0.2,0.2576,0.86,0.0,1,1,2,1
894,2011-02-07 00:00:00,1,0,2,5,0,1,1,1,0.2,0.2576,0.86,0.0,1,9,10,2
895,2011-02-07 00:00:00,1,0,2,6,0,1,1,1,0.18,0.2424,0.93,0.0,1,29,30,10
896,2011-02-07 00:00:00,1,0,2,7,0,1,1,1,0.18,0.2424,0.86,0.0,6,89,95,30
897,2011-02-07 00:00:00,1,0,2,8,0,1,1,2,0.16,0.2273,1.0,0.0,7,223,230,95
898,2011-02-07 00:00:00,1,0,2,9,0,1,1,1,0.22,0.2727,0.8,0.0,3,115,118,230
899,2011-02-07 00:00:00,1,0,2,10,0,1,1,1,0.24,0.2576,0.75,0.1045,6,49,55,118
900,2011-02-07 00:00:00,1,0,2,11,0,1,1,1,0.3,0.3182,0.65,0.0896,11,36,47,55
901,2011-02-07 00:00:00,1,0,2,12,0,1,1,2,0.32,0.3485,0.62,0.0,7,59,66,47
902,2011-02-07 00:00:00,1,0,2,13,0,1,1,2,0.36,0.3636,0.57,0.0896,10,54,64,66
903,2011-02-07 00:00:00,1,0,2,14,0,1,1,2,0.36,0.3636,0.57,0.0896,8,52,60,64
904,2011-02-07 00:00:00,1,0,2,15,0,1,1,2,0.38,0.3939,0.54,0.0896,4,46,50,60
905,2011-02-07 00:00:00,1,0,2,16,0,1,1,2,0.36,0.3485,0.57,0.1343,16,98,114,50
906,2011-02-07 00:00:00,1,0,2,17,0,1,1,2,0.32,0.3182,0.7,0.1642,9,207,216,114
907,2011-02-07 00:00:00,1,0,2,18,0,1,1,2,0.34,0.3333,0.66,0.1343,5,170,175,216
908,2011-02-07 00:00:00,1,0,2,19,0,1,1,2,0.32,0.3485,0.7,0.0,5,123,128,175
909,2011-02-07 00:00:00,1,0,2,20,0,1,1,2,0.32,0.3333,0.7,0.1045,6,82,88,128
910,2011-02-07 00:00:00,1,0,2,21,0,1,1,1,0.32,0.3485,0.7,0.0,3,75,78,88
911,2011-02-07 00:00:00,1,0,2,22,0,1,1,1,0.28,0.303,0.81,0.0896,3,34,37,78
912,2011-02-07 00:00:00,1,0,2,23,0,1,1,2,0.3,0.3333,0.81,0.0,6,19,25,37
913,2011-02-08 00:00:00,1,0,2,0,0,2,1,2,0.28,0.3182,0.87,0.0,4,6,10,25
914,2011-02-08 00:00:00,1,0,2,1,0,2,1,2,0.28,0.3182,0.87,0.0,0,4,4,10
915,2011-02-08 00:00:00,1,0,2,2,0,2,1,2,0.26,0.2727,0.93,0.1045,1,1,2,4
916,2011-02-08 00:00:00,1,0,2,3,0,2,1,3,0.28,0.2727,0.93,0.1642,0,1,1,2
917,2011-02-08 00:00:00,1,0,2,4,0,2,1,1,0.26,0.2576,0.93,0.1642,0,3,3,1
918,2011-02-08 00:00:00,1,0,2,5,0,2,1,1,0.26,0.2273,0.81,0.3284,0,2,2,3
919,2011-02-08 00:00:00,1,0,2,6,0,2,1,1,0.26,0.2273,0.7,0.3284,0,39,39,2
920,2011-02-08 00:00:00,1,0,2,7,0,2,1,1,0.24,0.197,0.65,0.4179,3,97,100,39
921,2011-02-08 00:00:00,1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243,100
922,2011-02-08 00:00:00,1,0,2,9,0,2,1,1,0.24,0.197,0.52,0.4925,7,128,135,243
923,2011-02-08 00:00:00,1,0,2,10,0,2,1,1,0.22,0.1818,0.47,0.5522,4,44,48,135
924,2011-02-08 00:00:00,1,0,2,11,0,2,1,1,0.22,0.1818,0.47,0.4627,1,49,50,48
925,2011-02-08 00:00:00,1,0,2,12,0,2,1,1,0.24,0.197,0.38,0.4925,2,63,65,50
926,2011-02-08 00:00:00,1,0,2,13,0,2,1,2,0.24,0.197,0.32,0.4478,2,48,50,65
927,2011-02-08 00:00:00,1,0,2,14,0,2,1,1,0.22,0.197,0.37,0.4179,3,61,64,50
928,2011-02-08 00:00:00,1,0,2,15,0,2,1,1,0.22,0.197,0.35,0.3881,6,45,51,64
929,2011-02-08 00:00:00,1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,4,79,83,51
930,2011-02-08 00:00:00,1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176,83
931,2011-02-08 00:00:00,1,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,1,151,152,176
932,2011-02-08 00:00:00,1,0,2,19,0,2,1,1,0.16,0.1212,0.4,0.4627,1,100,101,152
933,2011-02-08 00:00:00,1,0,2,20,0,2,1,1,0.16,0.1364,0.4,0.3284,3,53,56,101
934,2011-02-08 00:00:00,1,0,2,21,0,2,1,1,0.14,0.1061,0.33,0.4627,8,46,54,56
935,2011-02-08 00:00:00,1,0,2,22,0,2,1,1,0.12,0.1061,0.33,0.3582,0,29,29,54
936,2011-02-08 00:00:00,1,0,2,23,0,2,1,1,0.12,0.1061,0.33,0.3284,3,9,12,29
937,2011-02-09 00:00:00,1,0,2,0,0,3,1,1,0.1,0.0758,0.36,0.3582,0,17,17,12
938,2011-02-09 00:00:00,1,0,2,1,0,3,1,1,0.1,0.1061,0.36,0.2239,0,7,7,17
939,2011-02-09 00:00:00,1,0,2,2,0,3,1,1,0.08,0.0758,0.38,0.2836,1,2,3,7
940,2011-02-09 00:00:00,1,0,2,3,0,3,1,1,0.06,0.0758,0.45,0.1343,0,2,2,3
941,2011-02-09 00:00:00,1,0,2,4,0,3,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,2
942,2011-02-09 00:00:00,1,0,2,5,0,3,1,1,0.06,0.1061,0.45,0.1045,0,7,7,188
943,2011-02-09 00:00:00,1,0,2,6,0,3,1,1,0.06,0.1515,0.45,0.0,0,43,43,7
944,2011-02-09 00:00:00,1,0,2,7,0,3,1,1,0.06,0.1061,0.49,0.1045,4,95,99,43
945,2011-02-09 00:00:00,1,0,2,8,0,3,1,1,0.1,0.1364,0.42,0.0,1,198,199,99
946,2011-02-09 00:00:00,1,0,2,9,0,3,1,1,0.12,0.1364,0.39,0.1642,4,119,123,199
947,2011-02-09 00:00:00,1,0,2,10,0,3,1,1,0.14,0.1818,0.36,0.0,8,51,59,123
948,2011-02-09 00:00:00,1,0,2,11,0,3,1,2,0.14,0.1515,0.43,0.1642,1,40,41,59
949,2011-02-09 00:00:00,1,0,2,12,0,3,1,2,0.18,0.1818,0.4,0.2239,4,57,61,41
950,2011-02-09 00:00:00,1,0,2,13,0,3,1,1,0.18,0.1667,0.4,0.2537,2,67,69,61
951,2011-02-09 00:00:00,1,0,2,14,0,3,1,1,0.2,0.1818,0.34,0.2985,2,56,58,69
952,2011-02-09 00:00:00,1,0,2,15,0,3,1,2,0.2,0.1818,0.34,0.2836,3,61,64,58
953,2011-02-09 00:00:00,1,0,2,16,0,3,1,2,0.2,0.197,0.37,0.2537,7,72,79,64
954,2011-02-09 00:00:00,1,0,2,17,0,3,1,2,0.2,0.197,0.34,0.2537,9,157,166,79
955,2011-02-09 00:00:00,1,0,2,18,0,3,1,2,0.18,0.1667,0.47,0.2985,2,168,170,166
956,2011-02-09 00:00:00,1,0,2,19,0,3,1,3,0.14,0.1212,0.86,0.2537,1,87,88,170
957,2011-02-09 00:00:00,1,0,2,20,0,3,1,3,0.14,0.1515,0.86,0.1642,0,84,84,88
958,2011-02-09 00:00:00,1,0,2,21,0,3,1,2,0.14,0.1515,0.86,0.1642,0,83,83,84
959,2011-02-09 00:00:00,1,0,2,22,0,3,1,3,0.16,0.1667,0.8,0.1642,4,42,46,83
960,2011-02-09 00:00:00,1,0,2,23,0,3,1,3,0.16,0.1515,0.8,0.194,0,37,37,46
961,2011-02-10 00:00:00,1,0,2,0,0,4,1,3,0.14,0.1364,0.86,0.194,0,16,16,37
962,2011-02-10 00:00:00,1,0,2,1,0,4,1,3,0.14,0.1515,0.8,0.1343,0,7,7,16
963,2011-02-10 00:00:00,1,0,2,2,0,4,1,3,0.14,0.1515,0.8,0.1343,0,3,3,7
964,2011-02-10 00:00:00,1,0,2,3,0,4,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,3
965,2011-02-10 00:00:00,1,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239,0,1,1,188
966,2011-02-10 00:00:00,1,0,2,5,0,4,1,2,0.12,0.1212,0.5,0.2239,0,6,6,1
967,2011-02-10 00:00:00,1,0,2,6,0,4,1,2,0.12,0.1212,0.54,0.2836,0,26,26,6
968,2011-02-10 00:00:00,1,0,2,7,0,4,1,1,0.1,0.0758,0.5,0.4179,0,99,99,26
969,2011-02-10 00:00:00,1,0,2,8,0,4,1,1,0.1,0.0758,0.49,0.3284,5,173,178,99
970,2011-02-10 00:00:00,1,0,2,9,0,4,1,1,0.12,0.1061,0.42,0.3582,1,121,122,178
971,2011-02-10 00:00:00,1,0,2,10,0,4,1,1,0.12,0.1061,0.42,0.2985,1,34,35,122
972,2011-02-10 00:00:00,1,0,2,11,0,4,1,1,0.14,0.1212,0.39,0.3582,1,44,45,35
973,2011-02-10 00:00:00,1,0,2,12,0,4,1,1,0.16,0.1364,0.34,0.3881,4,65,69,45
974,2011-02-10 00:00:00,1,0,2,13,0,4,1,1,0.18,0.1667,0.29,0.2985,3,59,62,69
975,2011-02-10 00:00:00,1,0,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,6,42,48,62
976,2011-02-10 00:00:00,1,0,2,15,0,4,1,1,0.2,0.197,0.25,0.2537,0,50,50,48
977,2011-02-10 00:00:00,1,0,2,16,0,4,1,1,0.2,0.1818,0.27,0.2985,4,76,80,50
978,2011-02-10 00:00:00,1,0,2,17,0,4,1,1,0.18,0.1818,0.26,0.194,6,159,165,80
979,2011-02-10 00:00:00,1,0,2,18,0,4,1,1,0.16,0.1818,0.28,0.1343,3,157,160,165
980,2011-02-10 00:00:00,1,0,2,19,0,4,1,1,0.14,0.1667,0.28,0.1045,2,110,112,160
981,2011-02-10 00:00:00,1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97,112
982,2011-02-10 00:00:00,1,0,2,21,0,4,1,1,0.14,0.2121,0.39,0.0,2,70,72,97
983,2011-02-10 00:00:00,1,0,2,22,0,4,1,1,0.12,0.197,0.39,0.0,4,47,51,72
984,2011-02-10 00:00:00,1,0,2,23,0,4,1,1,0.12,0.1515,0.42,0.1045,1,33,34,51
985,2011-02-11 00:00:00,1,0,2,0,0,5,1,1,0.1,0.1364,0.49,0.1045,2,12,14,34
986,2011-02-11 00:00:00,1,0,2,1,0,5,1,1,0.1,0.1364,0.54,0.0896,1,6,7,14
987,2011-02-11 00:00:00,1,0,2,2,0,5,1,1,0.1,0.1364,0.54,0.0896,0,3,3,7
988,2011-02-11 00:00:00,1,0,2,3,0,5,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,3
989,2011-02-11 00:00:00,1,0,2,4,0,5,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,188
990,2011-02-11 00:00:00,1,0,2,5,0,5,1,1,0.08,0.1212,0.63,0.0896,0,4,4,188
991,2011-02-11 00:00:00,1,0,2,6,0,5,1,1,0.1,0.1818,0.68,0.0,1,23,24,4
992,2011-02-11 00:00:00,1,0,2,7,0,5,1,1,0.08,0.1667,0.73,0.0,1,73,74,24
993,2011-02-11 00:00:00,1,0,2,8,0,5,1,1,0.1,0.1212,0.74,0.1642,4,212,216,74
994,2011-02-11 00:00:00,1,0,2,9,0,5,1,1,0.12,0.1212,0.74,0.2239,8,132,140,216
995,2011-02-11 00:00:00,1,0,2,10,0,5,1,1,0.14,0.1364,0.69,0.194,5,39,44,140
996,2011-02-11 00:00:00,1,0,2,11,0,5,1,1,0.22,0.2273,0.47,0.1343,12,52,64,44
997,2011-02-11 00:00:00,1,0,2,12,0,5,1,1,0.22,0.2273,0.47,0.1343,7,64,71,64
998,2011-02-11 00:00:00,1,0,2,13,0,5,1,1,0.24,0.2273,0.35,0.194,21,89,110,71
999,2011-02-11 00:00:00,1,0,2,14,0,5,1,1,0.3,0.2879,0.26,0.2537,17,67,84,110
1000,2011-02-11 00:00:00,1,0,2,15,0,5,1,1,0.32,0.3182,0.21,0.1642,12,62,74,84
1001,2011-02-11 00:00:00,1,0,2,16,0,5,1,1,0.3,0.2879,0.28,0.194,14,111,125,74
1002,2011-02-11 00:00:00,1,0,2,17,0,5,1,1,0.3,0.3333,0.24,0.0,18,193,211,125
1003,2011-02-11 00:00:00,1,0,2,18,0,5,1,1,0.28,0.3182,0.28,0.0,9,165,174,211
1004,2011-02-11 00:00:00,1,0,2,19,0,5,1,1,0.26,0.303,0.33,0.0,7,94,101,174
1005,2011-02-11 00:00:00,1,0,2,20,0,5,1,1,0.22,0.2273,0.55,0.1343,2,61,63,101
1006,2011-02-11 00:00:00,1,0,2,21,0,5,1,1,0.2,0.2121,0.59,0.1343,1,46,47,63
1007,2011-02-11 00:00:00,1,0,2,22,0,5,1,1,0.2,0.2273,0.64,0.0896,2,41,43,47
1008,2011-02-11 00:00:00,1,0,2,23,0,5,1,1,0.18,0.2424,0.69,0.0,5,48,53,43
1009,2011-02-12 00:00:00,1,0,2,0,0,6,0,1,0.16,0.197,0.69,0.0896,3,27,30,53
1010,2011-02-12 00:00:00,1,0,2,1,0,6,0,1,0.14,0.2121,0.86,0.0,2,22,24,30
1011,2011-02-12 00:00:00,1,0,2,2,0,6,0,1,0.14,0.2121,0.8,0.0,2,13,15,24
1012,2011-02-12 00:00:00,1,0,2,3,0,6,0,1,0.12,0.197,0.8,0.0,3,7,10,15
1013,2011-02-12 00:00:00,1,0,2,4,0,6,0,1,0.12,0.1667,0.74,0.0896,0,4,4,10
1014,2011-02-12 00:00:00,1,0,2,5,0,6,0,1,0.12,0.1667,0.74,0.0896,0,1,1,4
1015,2011-02-12 00:00:00,1,0,2,6,0,6,0,1,0.12,0.1364,0.93,0.194,1,1,2,1
1016,2011-02-12 00:00:00,1,0,2,7,0,6,0,1,0.12,0.1515,0.8,0.1045,2,9,11,2
1017,2011-02-12 00:00:00,1,0,2,8,0,6,0,1,0.14,0.1515,0.86,0.1343,2,28,30,11
1018,2011-02-12 00:00:00,1,0,2,9,0,6,0,1,0.16,0.1818,0.64,0.1343,5,38,43,30
1019,2011-02-12 00:00:00,1,0,2,10,0,6,0,1,0.22,0.2121,0.41,0.2537,13,71,84,43
1020,2011-02-12 00:00:00,1,0,2,11,0,6,0,1,0.3,0.2727,0.28,0.3284,30,84,114,84
1021,2011-02-12 00:00:00,1,0,2,12,0,6,0,1,0.3,0.2727,0.39,0.4627,27,93,120,114
1022,2011-02-12 00:00:00,1,0,2,13,0,6,0,1,0.3,0.2727,0.39,0.4179,32,103,135,120
1023,2011-02-12 00:00:00,1,0,2,14,0,6,0,1,0.34,0.3182,0.31,0.2836,30,90,120,135
1024,2011-02-12 00:00:00,1,0,2,15,0,6,0,1,0.34,0.303,0.29,0.4179,47,127,174,120
1025,2011-02-12 00:00:00,1,0,2,16,0,6,0,1,0.34,0.303,0.29,0.4179,42,103,145,174
1026,2011-02-12 00:00:00,1,0,2,17,0,6,0,1,0.32,0.2879,0.31,0.5224,24,113,137,145
1027,2011-02-12 00:00:00,1,0,2,18,0,6,0,1,0.28,0.2576,0.38,0.3284,4,60,64,137
1028,2011-02-12 00:00:00,1,0,2,19,0,6,0,1,0.28,0.2727,0.38,0.1642,2,39,41,64
1029,2011-02-12 00:00:00,1,0,2,20,0,6,0,1,0.26,0.2576,0.41,0.2239,1,39,40,41
1030,2011-02-12 00:00:00,1,0,2,21,0,6,0,1,0.26,0.303,0.41,0.0,9,42,51,40
1031,2011-02-12 00:00:00,1,0,2,22,0,6,0,1,0.24,0.2576,0.44,0.0896,6,39,45,51
1032,2011-02-12 00:00:00,1,0,2,23,0,6,0,1,0.22,0.2273,0.51,0.1343,1,31,32,45
1033,2011-02-13 00:00:00,1,0,2,0,0,0,0,1,0.2,0.2273,0.64,0.1045,5,34,39,32
1034,2011-02-13 00:00:00,1,0,2,1,0,0,0,1,0.2,0.2273,0.59,0.0896,1,23,24,39
1035,2011-02-13 00:00:00,1,0,2,2,0,0,0,2,0.2,0.2273,0.75,0.0896,1,19,20,24
1036,2011-02-13 00:00:00,1,0,2,3,0,0,0,2,0.2,0.2273,0.69,0.1045,4,8,12,20
1037,2011-02-13 00:00:00,1,0,2,4,0,0,0,2,0.2,0.2121,0.69,0.1642,0,2,2,12
1038,2011-02-13 00:00:00,1,0,2,5,0,0,0,2,0.4969,0.4757,0.6272,0.19,35,153,188,2
1039,2011-02-13 00:00:00,1,0,2,6,0,0,0,2,0.2,0.2121,0.69,0.1343,2,3,5,188
1040,2011-02-13 00:00:00,1,0,2,7,0,0,0,2,0.22,0.2727,0.55,0.0,0,3,3,5
1041,2011-02-13 00:00:00,1,0,2,8,0,0,0,2,0.22,0.2273,0.64,0.194,1,11,12,3
1042,2011-02-13 00:00:00,1,0,2,9,0,0,0,2,0.24,0.2273,0.6,0.2239,12,35,47,12
1043,2011-02-13 00:00:00,1,0,2,10,0,0,0,1,0.3,0.2727,0.45,0.3284,19,86,105,47
1044,2011-02-13 00:00:00,1,0,2,11,0,0,0,1,0.32,0.2879,0.39,0.4478,26,86,112,105
1045,2011-02-13 00:00:00,1,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,58,94,152,112
1046,2011-02-13 00:00:00,1,0,2,13,0,0,0,1,0.38,0.3939,0.29,0.3582,62,92,154,152
1047,2011-02-13 00:00:00,1,0,2,14,0,0,0,2,0.4,0.4091,0.3,0.4179,51,110,161,154
1048,2011-02-13 00:00:00,1,0,2,15,0,0,0,2,0.4,0.4091,0.3,0.2985,40,122,162,161
1049,2011-02-13 00:00:00,1,0,2,16,0,0,0,2,0.42,0.4242,0.28,0.3284,28,106,134,162
1050,2011-02-13 00:00:00,1,0,2,17,0,0,0,1,0.42,0.4242,0.28,0.3284,30,95,125,134
1051,2011-02-13 00:00:00,1,0,2,18,0,0,0,1,0.4,0.4091,0.32,0.2985,17,78,95,125
1052,2011-02-13 00:00:00,1,0,2,19,0,0,0,1,0.4,0.4091,0.35,0.2836,11,50,61,95
1053,2011-02-13 00:00:00,1,0,2,20,0,0,0,1,0.4,0.4091,0.35,0.3284,15,32,47,61
1054,2011-02-13 00:00:00,1,0,2,21,0,0,0,1,0.4,0.4091,0.35,0.3582,6,45,51,47
1055,2011-02-13 00:00:00,1,0,2,22,0,0,0,1,0.4,0.4091,0.35,0.2985,5,31,36,51
1056,2011-02-13 00:00:00,1,0,2,23,0,0,0,1,0.4,0.4091,0.35,0.3582,3,27,30,36
1057,2011-02-14 00:00:00,1,0,2,0,0,1,1,1,0.38,0.3939,0.37,0.3582,3,8,11,30
1058,2011-02-14 00:00:00,1,0,2,1,0,1,1,1,0.38,0.3939,0.37,0.3582,1,6,7,11
1059,2011-02-14 00:00:00,1,0,2,2,0,1,1,1,0.36,0.3333,0.4,0.2985,0,2,2,7
1060,2011-02-14 00:00:00,1,0,2,3,0,1,1,1,0.34,0.3182,0.46,0.2239,1,1,2,2
1061,2011-02-14 00:00:00,1,0,2,4,0,1,1,1,0.32,0.303,0.53,0.2836,0,2,2,2
1062,2011-02-14 00:00:00,1,0,2,5,0,1,1,1,0.32,0.303,0.53,0.2836,0,3,3,2
1063,2011-02-14 00:00:00,1,0,2,6,0,1,1,1,0.34,0.303,0.46,0.2985,1,25,26,3
1064,2011-02-14 00:00:00,1,0,2,7,0,1,1,1,0.34,0.303,0.46,0.2985,2,96,98,26
1065,2011-02-14 00:00:00,1,0,2,8,0,1,1,1,0.38,0.3939,0.4,0.4627,7,249,256,98
1066,2011-02-14 00:00:00,1,0,2,9,0,1,1,1,0.4,0.4091,0.37,0.3881,8,122,130,256
1067,2011-02-14 00:00:00,1,0,2,10,0,1,1,1,0.44,0.4394,0.33,0.2239,9,46,55,130
1068,2011-02-14 00:00:00,1,0,2,11,0,1,1,1,0.52,0.5,0.23,0.2537,10,43,53,55
1069,2011-02-14 00:00:00,1,0,2,12,0,1,1,1,0.56,0.5303,0.22,0.4478,27,99,126,53
1070,2011-02-14 00:00:00,1,0,2,13,0,1,1,1,0.58,0.5455,0.19,0.3881,27,93,120,126
1071,2011-02-14 00:00:00,1,0,2,14,0,1,1,1,0.6,0.5909,0.15,0.4925,14,76,90,120
1072,2011-02-14 00:00:00,1,0,2,15,0,1,1,1,0.56,0.5303,0.21,0.6567,19,71,90,90
1073,2011-02-14 00:00:00,1,0,2,16,0,1,1,1,0.52,0.5,0.27,0.4627,16,102,118,90
1074,2011-02-14 00:00:00,1,0,2,17,0,1,1,1,0.46,0.4545,0.33,0.6119,25,218,243,118
1075,2011-02-14 00:00:00,1,0,2,18,0,1,1,1,0.4,0.4091,0.4,0.6119,11,194,205,243
1076,2011-02-14 00:00:00,1,0,2,19,0,1,1,1,0.38,0.3939,0.43,0.4925,12,86,98,205
1077,2011-02-14 00:00:00,1,0,2,20,0,1,1,1,0.36,0.3182,0.46,0.4627,5,65,70,98
1078,2011-02-14 00:00:00,1,0,2,21,0,1,1,1,0.36,0.3182,0.5,0.5224,8,35,43,70
1079,2011-02-14 00:00:00,1,0,2,22,0,1,1,1,0.34,0.2879,0.46,0.6567,1,44,45,43
1080,2011-02-14 00:00:00,1,0,2,23,0,1,1,1,0.32,0.2879,0.49,0.4925,1,19,20,45
1081,2011-02-15 00:00:00,1,0,2,0,0,2,1,1,0.3,0.2727,0.49,0.4179,7,12,19,20
1082,2011-02-15 00:00:00,1,0,2,1,0,2,1,1,0.3,0.2424,0.42,0.7761,0,5,5,19
1083,2011-02-15 00:00:00,1,0,2,2,0,2,1,1,0.28,0.2273,0.41,0.6866,1,2,3,5
1084,2011-02-15 00:00:00,1,0,2,3,0,2,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,3
1085,2011-02-15 00:00:00,1,0,2,4,0,2,1,1,0.22,0.1818,0.37,0.5224,0,1,1,188
1086,2011-02-15 00:00:00,1,0,2,5,0,2,1,1,0.22,0.1818,0.32,0.4627,0,4,4,1
1087,2011-02-15 00:00:00,1,0,2,6,0,2,1,1,0.2,0.1818,0.32,0.3284,0,30,30,4
1088,2011-02-15 00:00:00,1,0,2,7,0,2,1,1,0.2,0.1818,0.32,0.3582,2,103,105,30
1089,2011-02-15 00:00:00,1,0,2,8,0,2,1,1,0.2,0.1818,0.32,0.3582,10,213,223,105
1090,2011-02-15 00:00:00,1,0,2,9,0,2,1,1,0.22,0.197,0.29,0.4478,2,108,110,223
1091,2011-02-15 00:00:00,1,0,2,10,0,2,1,1,0.24,0.2121,0.27,0.2836,5,47,52,110
1092,2011-02-15 00:00:00,1,0,2,11,0,2,1,1,0.26,0.2424,0.25,0.2537,11,46,57,52
1093,2011-02-15 00:00:00,1,0,2,12,0,2,1,1,0.28,0.2727,0.24,0.2537,6,65,71,57
1094,2011-02-15 00:00:00,1,0,2,13,0,2,1,1,0.32,0.303,0.21,0.2239,14,68,82,71
1095,2011-02-15 00:00:00,1,0,2,14,0,2,1,1,0.34,0.3182,0.19,0.2239,10,69,79,82
1096,2011-02-15 00:00:00,1,0,2,15,0,2,1,1,0.34,0.3333,0.19,0.1642,11,74,85,79
1097,2011-02-15 00:00:00,1,0,2,16,0,2,1,1,0.34,0.3182,0.19,0.2537,21,77,98,85
1098,2011-02-15 00:00:00,1,0,2,17,0,2,1,1,0.32,0.303,0.22,0.2239,15,191,206,98
1099,2011-02-15 00:00:00,1,0,2,18,0,2,1,1,0.3,0.303,0.22,0.1343,14,198,212,206
1100,2011-02-15 00:00:00,1,0,2,19,0,2,1,1,0.28,0.2879,0.26,0.1343,3,142,145,212
1101,2011-02-15 00:00:00,1,0,2,20,0,2,1,1,0.26,0.2727,0.33,0.1045,3,98,101,145
1102,2011-02-15 00:00:00,1,0,2,21,0,2,1,1,0.24,0.2879,0.52,0.0,5,61,66,101
1103,2011-02-15 00:00:00,1,0,2,22,0,2,1,1,0.24,0.2879,0.44,0.0,0,41,41,66
1104,2011-02-15 00:00:00,1,0,2,23,0,2,1,2,0.22,0.2576,0.44,0.0896,0,20,20,41
1105,2011-02-16 00:00:00,1,0,2,0,0,3,1,1,0.22,0.2576,0.41,0.0896,0,15,15,20
1106,2011-02-16 00:00:00,1,0,2,1,0,3,1,1,0.2,0.2273,0.44,0.0896,0,9,9,15
1107,2011-02-16 00:00:00,1,0,2,2,0,3,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,9
1108,2011-02-16 00:00:00,1,0,2,3,0,3,1,2,0.2,0.197,0.47,0.194,0,1,1,188
1109,2011-02-16 00:00:00,1,0,2,4,0,3,1,1,0.2,0.197,0.51,0.194,0,1,1,1
1110,2011-02-16 00:00:00,1,0,2,5,0,3,1,1,0.2,0.197,0.47,0.194,0,5,5,1
1111,2011-02-16 00:00:00,1,0,2,6,0,3,1,1,0.2,0.197,0.55,0.2239,1,32,33,5
1112,2011-02-16 00:00:00,1,0,2,7,0,3,1,2,0.2,0.197,0.55,0.2239,5,103,108,33
1113,2011-02-16 00:00:00,1,0,2,8,0,3,1,2,0.22,0.2273,0.55,0.1642,6,224,230,108
1114,2011-02-16 00:00:00,1,0,2,9,0,3,1,1,0.24,0.2121,0.52,0.2836,2,122,124,230
1115,2011-02-16 00:00:00,1,0,2,10,0,3,1,1,0.26,0.2273,0.41,0.3881,14,55,69,124
1116,2011-02-16 00:00:00,1,0,2,11,0,3,1,1,0.34,0.303,0.34,0.2985,7,59,66,69
1117,2011-02-16 00:00:00,1,0,2,12,0,3,1,1,0.38,0.3939,0.32,0.3284,14,72,86,66
1118,2011-02-16 00:00:00,1,0,2,13,0,3,1,1,0.42,0.4242,0.3,0.3582,13,80,93,86
1119,2011-02-16 00:00:00,1,0,2,14,0,3,1,1,0.46,0.4545,0.28,0.4179,17,65,82,93
1120,2011-02-16 00:00:00,1,0,2,15,0,3,1,1,0.46,0.4545,0.28,0.4179,35,82,117,82
1121,2011-02-16 00:00:00,1,0,2,16,0,3,1,1,0.46,0.4545,0.31,0.3881,26,96,122,117
1122,2011-02-16 00:00:00,1,0,2,17,0,3,1,1,0.46,0.4545,0.28,0.2836,11,244,255,122
1123,2011-02-16 00:00:00,1,0,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,20,202,222,255
1124,2011-02-16 00:00:00,1,0,2,19,0,3,1,1,0.34,0.3182,0.53,0.2239,18,143,161,222
1125,2011-02-16 00:00:00,1,0,2,20,0,3,1,1,0.38,0.3939,0.43,0.194,10,108,118,161
1126,2011-02-16 00:00:00,1,0,2,21,0,3,1,1,0.36,0.3485,0.46,0.194,5,87,92,118
1127,2011-02-16 00:00:00,1,0,2,22,0,3,1,1,0.34,0.3333,0.53,0.194,12,61,73,92
1128,2011-02-16 00:00:00,1,0,2,23,0,3,1,1,0.38,0.3939,0.4,0.2239,2,31,33,73
1129,2011-02-17 00:00:00,1,0,2,0,0,4,1,1,0.34,0.3333,0.53,0.194,1,16,17,33
1130,2011-02-17 00:00:00,1,0,2,1,0,4,1,1,0.34,0.3182,0.53,0.2239,0,6,6,17
